COUNTRY_NAME,COUNTRY_CODE,YEAR,MENINGITIS,NEOPLASMS,FIRE__HEAT__AND_HOT_SUBSTANCES,MALARIA,DROWNING,INTERPERSONAL_VIOLENCE,HIV_AIDS,DRUG_USE_DISORDERS,TUBERCULOSIS,ROAD_INJURIES,MATERNAL_DISORDERS,LOWER_RESPIRATORY_INFECTIONS,NEONATAL_DISORDERS,ALCOHOL_USE_DISORDERS,EXPOSURE_TO_FORCES_OF_NATURE,DIARRHEAL_DISEASES,ENVIRONMENTAL_HEAT_AND_COLD_EXPOSURE,NUTRITIONAL_DEFICIENCIES,SELF_HARM,CONFLICT_AND_TERRORISM,DIABETES_MELLITUS,POISONINGS,PROTEIN_ENERGY_MALNUTRITION,TERRORISM,CARDIOVASCULAR_DISEASES,CHRONIC_KIDNEY_DISEASE,CHRONIC_RESPIRATORY_DISEASES,CIRRHOSIS_AND_OTHER_CHRONIC_LIVER_DISEASES,DIGESTIVE_DISEASES,ACUTE_HEPATITIS,ALZHEIMERS_DISEASE_AND_OTHER_DEMENTIAS,PARKINSONS_DISEASE
Afghanistan,AFG,2007,2932.558590948986,15924.782541431216,481.2198167670799,392.9426072823354,2126.78853520243,3657.205757097375,148.27632921608125,251.83006455000324,4995.103368594333,7425.0719257743185,4989.828665109148,27671.53143166309,23889.79700363977,111.21590359827552,295.9999999999997,9320.442294591729,56.68077361131035,2488.1755546444515,1309.838111461112,8220.369573999995,3188.769589086892,512.5002356190207,2438.5670347178734,1199.0,53962.25185884871,4490.1742404657725,7221.773068421165,3345.814978830816,6457.75347625304,3437.0,1402.0,450.0
Afghanistan,AFG,2008,2730.846136688018,16147.83902555209,462.18057583280137,254.7034032790608,1973.3758929352407,3784.7028951882417,157.40113493420134,261.3916168027929,4789.722281547898,7354.74900286273,5020.136732989156,25800.35097159915,23791.854339440702,113.54178361528956,1317.0,8274.965442490431,56.84484988716866,2276.5480351412943,1330.0014218180838,6894.570626900007,3260.816091695947,495.2885631722405,2230.538625427961,1092.0,54050.64419567989,4533.825139408548,7142.796655860086,3316.354776011168,6407.964589824173,3005.0,1424.0,455.0
Afghanistan,AFG,2009,2460.1864227244864,16382.558546361555,448.3002638165421,239.03563522714168,1852.1552389599187,3874.099828016712,167.27069519700706,269.84528674354465,4578.915136706351,7290.468620611678,5013.2426952957785,24340.36147100344,23671.85844523357,115.27635576020612,100.99999999999991,7359.416572548239,56.851216466665655,2040.308746705757,1342.4893824575402,7616.870730000003,3335.5335659366424,482.526865603252,1997.5312157282167,1065.0,53964.195556656734,4596.974421667263,7045.249090002935,3291.158847153401,6358.027599561621,2663.0,1449.0,460.0
Afghanistan,AFG,2011,2326.767573176013,17093.515667834872,447.8843535199881,390.06024837813743,1774.9684756340498,4169.873037813297,183.8163425593777,292.3126383146476,4258.825530700409,7432.300560192872,4856.629032136194,22882.69028928195,23950.8008462122,120.43978094246674,82.99999999999993,6411.906911000374,57.9084192897119,1845.7172591753144,1390.8952516900422,9142.431548000006,3550.172680968829,483.08048813211417,1805.467088782968,1525.0,54347.26659275561,4784.629776293368,6915.563605616651,3317.8916616727524,6370.00038313186,2365.0,1508.0,473.0
Afghanistan,AFG,2012,2254.492968486809,17521.930189420647,445.22641218322696,93.89420053151112,1715.864705105913,4244.671108078565,190.525008380148,304.5701532047818,4121.9420275934535,7494.351481242018,4735.568610718347,22162.26397476469,24057.342827404784,123.49552683946328,333.0,6008.41263443172,102.8309775143746,1705.4398237357643,1413.1493562547462,11349.935804,3682.1669868053873,482.161456375184,1666.898963389631,3521.0,54868.120368055446,4845.6670278193305,6877.511216778829,3352.8465661924697,6398.171770041257,2264.0,1544.0,482.0
Afghanistan,AFG,2013,2280.9635907215743,18015.333217558524,460.45303571217744,143.48955693930637,1776.719458136525,4378.519061911582,200.1481274162371,315.8716582743361,4047.332181139303,8054.419839741634,4622.6827284565015,22259.71753907873,24234.04588400377,125.8161513111037,155.0000000000001,5986.342998663843,57.81012416228544,1690.0475142017856,1432.687526836777,11828.817004000004,3826.513884645197,493.988081193162,1651.232670337329,3709.0,55274.18906685613,4944.758706933134,6859.067984672819,3413.037894234564,6476.135806030948,2204.0,1581.0,491.0
Afghanistan,AFG,2014,1934.9047237275224,18461.99997643972,462.7987758322339,227.71831873325823,1757.026190454499,4420.18357459299,212.9093638112052,326.4637038575058,3970.230201400015,8086.537987829495,4469.588486901051,21750.161649166606,24163.065525141028,128.102661188948,575.0000000000005,5751.3299624186175,57.48371335298648,1617.139004105096,1444.2523108563687,18007.963581080003,3985.58487439155,495.8911630346409,1579.1420746916272,5414.0,55931.50360383149,5054.619519722942,6850.700728328786,3453.935362254057,6521.615168436609,2134.0,1620.0,502.0
Afghanistan,AFG,2015,1820.865115399148,18875.77882523169,462.7238157975512,283.9483560268313,1729.8376373485569,5039.130135327487,230.2184550834688,338.8324717584263,3893.03199018352,7730.314755826862,4319.797612018371,21015.53679705845,23953.07690856411,131.02790736935992,446.00000000000017,5508.7623690344535,57.8477970143892,1505.164788906489,1467.1081897637612,23666.800675999973,4143.130480065431,495.8275030919733,1468.6838596957994,6216.0,56874.76105010042,5153.057293143508,6834.929563461181,3491.934747097648,6555.086002726184,2065.0,1652.0,511.0
Afghanistan,AFG,2016,1795.1013437253748,19459.082195226005,471.0633578544957,387.7222661782283,1742.0494324762344,5032.538503501707,250.78921914083423,354.06147005631715,3842.690485523999,7866.3698982107535,4211.812368432782,20600.86090347961,23956.06753377129,134.62291369935934,84.00000000000011,5376.362956316404,58.26209650641089,1452.0727619543652,1504.7461715502595,28051.00000000001,4349.06926057837,503.8407684875661,1416.044406295743,6142.0,57969.92267969345,5296.245143905092,6893.736120122888,3577.8843923183654,6672.548916139977,2044.0,1690.0,524.0
Bahrain,BHR,2008,3.697990128463362,464.778802769834,12.531263807045384,0.0,11.959981887438444,32.990876160152105,11.960619617937008,2.3680593959099228,11.428483399034528,170.67586426460352,5.339269981580582,66.67415799879915,55.32759551601642,4.079645519530095,0.0,8.952539798268802,0.5356028744584687,4.1487474622024445,89.44449311911823,1.0,355.79291399236604,2.164228677682754,3.836906522110019,1.0,838.4545472038826,112.43953585904606,135.22094017282615,84.72081092073552,137.034939983395,4.0,34.0,13.0
Bahrain,BHR,2010,3.4704988191083874,499.4488085218344,13.375147834385947,0.0,12.17630740960138,35.49060582564771,12.44994721894085,2.342829705341978,10.955131287520327,167.63832439061972,5.250890865669152,66.45063580325538,52.0926188583539,4.810446930369505,0.0,8.895306887707445,0.5706468640361769,4.115841672850242,86.22042613743837,0.0,403.6368440281368,2.270198082664159,3.7337860425634943,0.0,862.3922492021289,119.08008461243315,126.47849041177868,89.46409037919484,140.47643917075382,4.0,38.0,13.0
Bangladesh,BGD,2007,4633.194350614886,69815.7036232977,1405.1577604456363,3790.957528523416,22023.94734418611,3390.799222543726,154.59410579567373,224.9132708559783,44186.075628490384,8926.913640035596,8083.369900057172,56958.0946181019,86637.9535794874,276.8049894028611,5504.999999999999,35609.54192251347,206.5289479325856,12075.680612772549,8467.751789264288,19.000000000000018,22320.742084543886,478.6233636532676,9193.881895657272,1.0,229986.003193002,10465.523900096849,60138.21800861968,26713.7306581659,41052.86245810357,3970.0,6653.0,2609.0
Bangladesh,BGD,2008,4638.274039325988,71058.99111173571,1369.4300938901736,6577.257568666793,20625.59399113649,3393.94369522068,186.7000757099537,224.38034456719328,41736.25379066854,8984.265519490775,7432.432979506241,53458.50203594148,83087.30450361795,277.0432888579017,68.00000000000011,33338.35451065285,75.81097917675478,10811.87891930463,8249.592096744407,21.99999999999997,22325.31427928269,483.8122342818797,8009.065772680346,9.0,234002.1516506033,10494.907496483143,59378.148028364034,25922.04396656121,39833.41454456717,3873.0,6891.0,2647.0
Bangladesh,BGD,2009,3845.591153819183,73425.49540195058,1359.5787723732672,4104.964420115462,19115.45916159213,3521.0003928165684,213.89089537707287,227.2821435367013,39446.145251382186,9142.563049273564,7008.215847474037,50205.94522819941,79127.60606220114,278.55466525667424,212.99999999999977,32311.95524012624,144.77925867280928,9739.01360287351,8237.326449916945,20.000000000000018,22684.876703766247,497.0277870926408,7004.5946212022045,18.0,242016.1439171413,10648.040993374523,59517.00422028883,25497.26854497764,39290.51848288578,3884.0,7239.0,2745.0
Bangladesh,BGD,2010,3662.9968731843287,76058.17063957104,1468.8284848227595,4993.288428810223,17169.111515933553,3576.424683050469,246.3439327659964,229.08447982678496,37696.72949823122,9182.68995046249,6938.464027336432,47583.75857023065,75447.87803576214,279.70322030896455,106.99999999999984,31548.309838159686,146.79644196433108,8793.277415784822,8133.199635137447,127.10438100000005,23286.86675450359,505.864260764193,6149.062516677572,15.0,252054.44172922903,10770.803618625696,60294.36884407058,25084.913674784555,38799.449029954834,3941.0,7658.0,2899.0
Bangladesh,BGD,2011,3328.111342517603,76393.17218727733,1268.5227216405349,5107.783618755714,15392.404136636587,3677.908361792436,285.9182166197644,220.2670491970112,34335.27097875848,8715.266744439135,6848.393618123672,44082.92631622963,72191.97431495838,275.7102441858577,39.99999999999999,30285.431454075704,140.61511825540498,7706.184037250964,7534.384231417802,402.207949,21980.94907825397,493.87656937448014,5308.948211747637,9.0,243360.96053055723,10469.999810693482,56564.02759717436,24070.498884480294,37326.70733632259,3848.0,7951.0,2713.0
Bangladesh,BGD,2012,3004.716816432724,77714.98123433917,1227.219529511222,1087.165002016883,13666.4393360003,3631.9074240300174,320.01624372660865,217.09963067683844,31899.541476149032,8392.924342570692,7282.6837308565855,40685.327197278006,67830.65469702681,277.3685578471436,272.0000000000003,29560.46529852693,102.98752537311924,6791.701999447488,7119.428552520319,316.9868140000004,21230.669084268786,499.96627564665147,4550.484343838469,8.0,238443.16608100905,10335.722236169771,53698.380159485634,23548.472061987,36562.13268870225,3831.0,8374.0,2556.0
Bangladesh,BGD,2013,2886.6403435828583,80502.67646951381,1218.9516473150024,480.8082489495944,12246.34027730986,3840.91235486154,343.27489135202427,224.1923078075604,31181.92205506154,8370.64015009999,7342.627144740095,39182.86525921666,63358.48630532964,280.0052516658812,49.99999999999997,30074.55694136651,130.95600476244505,6258.716742947275,6948.873296352615,140.95603000000003,22032.99193877012,490.2989382970285,4024.246492068179,16.0,245834.12808472672,10470.184452514975,54792.111959958784,23445.03528067688,36586.76041675094,3920.0,9137.0,2719.0
Bangladesh,BGD,2015,2366.1809826369404,87111.96245573359,1233.3945618063108,900.5369497968541,10182.428666954436,4086.813947786778,367.8493330037163,232.7851280627692,30628.857407121483,8468.844652639591,7438.825687147118,37458.43445365228,55251.296051576486,286.292225482686,158.99999999999986,31321.014269039493,94.44572973746826,5703.178880811763,6856.5375456362335,163.18033099999968,24519.77131021426,518.1432577615825,3477.68296480112,86.0,268859.3105004119,10872.176805183306,58308.11236030927,23621.57935550469,37321.80524445399,4143.0,10930.0,3180.0
Bangladesh,BGD,2016,2334.054484050432,91435.5625086654,1248.9297599454176,579.7962187774689,9400.926227642422,4051.781890792799,377.0319327494339,248.9796106915892,30375.78466933385,8427.875532372356,7203.518252831766,37102.778728245066,51546.16350946785,294.89087646330853,198.00000000000009,32195.040287294807,98.98081998701213,5311.380160674892,6887.385377542704,230.7144629999998,26258.633856492743,533.0115601633776,3109.362315440966,76.0,279014.3912402652,11264.71917625736,60948.28255197159,24192.123789966063,38321.508419391226,4270.0,12037.0,3441.0
